"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"第四范式数据智能部","语音识别","25k-50k","深圳 ","经验1-3年","硕士及以上","全职","人工智能 | 机器学习 | 算法","2018-08-08  ","人工智能,大牛超多,晋升空间,不打卡","1、语音识别系统的数据处理、模型训练、结果分析、实验验证；","深圳-南山区-深圳湾科技生态园","2018-08-13 22:35:55"
"字节跳动","语音识别工程师","30k-60k","北京 ","经验3-5年","硕士及以上","全职","算法","11:27  ","免费三餐，租房补贴，带薪休假",,"北京-海淀区-双榆树-北京市海淀区北三环西路43号中航广场","2018-08-13 22:35:58"
"Udesk－企业级智能客服平台研发部","语音识别","30k-50k","北京 ","经验3-5年","硕士及以上","全职","机器学习 | 算法","10:31  ","团队强悍,待遇丰厚,数据规模","职位职责： ","北京-西城区-西直门-西直门南大街2号成铭大厦C座16层1605（西直门地铁站C口）","2018-08-13 22:36:01"
"秒针系统创新事业部","语音识别/音频分析算法工程师","25k-35k","北京 ","经验3-5年","硕士及以上","全职","语音识别 | 算法","15:44  ","车补房补,五险一金,技术氛围,带薪年假","岗位职责1.负责与智能语音识别，智能分析处理相关的算法研发、优化、移植和应用支持，如语音转文字，声纹识别，自然语言分析处理等；2.负责同公司外部视频分析算法供应商协作，管控进度及产出，保证合作项目按计划正常推进；3.招聘并管理公司内部音频分析团队；4.负责拾音设备的硬件选型，供应商寻找及管理，测试开展的工作；5.跟踪相关领域的技术发展趋势，参与相关技术标准的制订工作。","北京-朝阳区-望京---望京SOHO","2018-08-13 22:36:03"
"无秘","语音识别工程师","30k-60k","深圳 ","经验3-5年","本科及以上","全职","人工智能 | 机器学习 | NLP | 算法","10:00  ","高速发展,团队优秀,待遇丰厚","职位描述：","深圳-南山区-科技园-科技园北区大族创新大厦A座4楼","2018-08-13 22:36:07"
"竹间智能科技(上海)有限公司","语音识别工程师","20k以上","上海 ","经验不限","硕士及以上","全职","机器学习 | 算法","10:12  ","年底双薪 股票期权 五险一金 弹性工作","职位描述： 1. 语音识别技术及相关算法的研究与开发；2. 语音识别系统的数据处理、模型训练结果分析实验证；3. 基于海量数据的模型训练、词汇连续语音识别系统开发 基于海量数据的模型训练、词汇连续语音识别系统开发 ;4. 跟踪国内外最新的语音识别相关先进技术 。任职资格：1、 必须有 KaldiKaldi，CMU Sphinx等开源工具半年以上发经验；2、 精通语音识别 /模式识别 /神经网络 /信号处理、机器学习等相关算法 ；3、 熟悉科大讯飞、百度等语音平台； 4、 有大型公司语音识别开发经验者优先； 5、 较强的沟通和表达能力，良好抗压有自学习团队协作精神 ；6、 硕士及以上学历，信号处理、计算机、电子息等相关专业； 7、 编程： C/C++/Java/Python 扎实功力及经验。","上海-徐汇区-田林-宜山路700号","2018-08-13 22:36:10"
"一知智能","语音识别工程师","60k-75k","杭州 ","经验3-5年","硕士及以上","全职","软件开发","17:19  ","最牛工作团,前沿技术,广阔空间,牛人大咖","岗位职责：","杭州-萧山区-杭州湾信息港","2018-08-13 22:36:13"
"天润融通","语音识别工程师","15k-30k","北京 ","经验不限","本科及以上","全职","人工智能 | 机器学习 | 深度学习 | 计算机视觉","09:14  ","三板上市,菁英团队,扁平化管理,交流分享","负责语音识别系统的部署实施及运营优化，与应用开发工程师合作完成产品开发。","北京-大兴区-亦庄-北工大软件园","2018-08-13 22:36:15"
"联想集团AI-lab","语音识别研究员","30k-50k","北京 ","经验3-5年","硕士及以上","全职","人工智能 | 机器学习 | 算法","09:04  ","五险一金,发展前景大,带薪年假,周末双休","工作职责：","北京-海淀区-西二旗-联想集团联想研究院","2018-08-13 22:36:18"
"意能通研发部","语音识别","15k-30k","苏州 ","经验3-5年","硕士及以上","全职","人工智能 | 机器学习 | NLP | 模式识别","09:47  ","优秀团队,股票期权,五险一金,周末双休","岗位职责：","苏州-吴中区-州工业园区纳米技术国家大学科技园E栋202室","2018-08-13 22:36:21"
"普强信息ASR","语音识别工程师--声学模型...","10k-20k","北京 ","经验1-3年","硕士及以上","全职","人工智能 | 机器学习 | 模式识别 | 算法","10:11  ","大牛多,年底双薪,免费班车,免费茶饮","岗位职责：1、负责语音识别系统的模型训练和解码器开发；2、持续提升语音识别引擎的识别率。","北京-海淀区-永丰路和北清路交汇处东南角四维图新大厦F座2层","2018-08-13 22:36:24"
"云知声AI Labs","语音识别软件工程师(J10192)","15k-25k","北京 ","经验1-3年","硕士及以上","全职","C++","14:38  ","人工智能,工作居住证,年终多薪","工作职责:1. 负责语音识别引擎的功能开发以及性能优化2. 负责语音识别引擎在不同平台上的移植和优化3. 负责语音识别引擎相关工具的开发与维护，以及相关工具文档的撰写4. 负责与产品部门对接引擎输出，提供技术支持任职资格:任职资格：1. 具有 linux 下的 c/c++ 开发经验；熟练使用 python,shell,git；2. 对语音识别，人工智能，IoT 感兴趣，对工作热爱，认真负责3. 思维严谨，具备快速定位，解决问题的能力4. 有较强的编程能力和良好的代码风格，学习能力强，热爱编程5. 计算机基础知识扎实，熟悉基本数据结构和算法6. 能够积极沟通，有责任心，有团队合作精神，对技术研发感兴趣，有较强的钻研精神，动手能力强7. 有语音识别，信号处理，机器学习经验者优先","北京-朝阳区-太阳宫中路16号院1号楼冠捷大厦12层","2018-08-13 22:36:27"
"数美语音识别","语音识别工程师","25k-50k","北京 ","经验1-3年","硕士及以上","全职","大数据 | 算法 | 数据挖掘","07:12  ","大牛如云,待遇给力,海量数据,顶尖团队","职位描述：","北京-朝阳区-望京-望京诚盈中心","2018-08-13 22:36:30"
"真格基金真格基金HR项目组真聘","FreeSwitch语音识别工程师...","15k-25k","北京 ","经验3-5年","本科及以上","全职","智能硬件 | C++ | Java","09:48  ","人工智能,大数据,五险一金,已盈利","岗位职责","北京-海淀区-苏州街","2018-08-13 22:36:33"
"触宝大数据业务群","语音识别专家","30k-60k","北京 ","经验3-5年","硕士及以上","全职","语音处理","10:14  ","独角兽,环境极客","职位描述：","北京-朝阳区-朝外SOHOA座2306室","2018-08-13 22:36:36"
"字节跳动","语音识别实习生-AI Lab","2k-4k","北京 ","经验不限","本科及以上","实习","NLP","11:27  ","弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理，健身瑜伽，过亿用户，晋升空间，团队氛围好",,"北京市-海淀区-双榆树-北京市海淀区北三环西路43号中航广场","2018-08-13 22:36:50"
"无秘技术部","语音识别工程师","20k-40k","深圳 ","经验1-3年","本科及以上","全职","算法 | 数据挖掘","19:34  ","高薪酬,扁平管理,高成长,精英团队","职位描述：","深圳-南山区-西丽-科技园北区大族创新大厦A座4楼","2018-08-13 22:36:53"
,,,,,,,,,,,,"2018-08-13 22:36:54"
"roobo技术部","语音识别工程师","30k-50k","北京 ","经验3-5年","本科及以上","全职","人工智能 | 机器学习 | 深度学习 | 模式识别","10:07  ","人工智能,办公环境","职位职责：","北京-东城区-朝阳门-银河soho","2018-08-13 22:36:57"
"滴滴出行AI Labs","语音识别工程师(J180725011)","20k-40k","北京 ","经验3-5年","本科及以上","全职","滴滴","2018-08-09  ","广阔平台、急速成长、诱人福利",,"北京-海淀区-北京市海淀区东北旺西路8号数字山谷","2018-08-13 22:37:00"
,,,,,,,,,,,,"2018-08-13 22:37:02"
"苏宁易购人工智能研发中心","语音识别资深研究员","25k-50k","北京 ","经验不限","本科及以上","全职","电商 | 人工智能 | 机器学习 | 语音识别 | 算法 | 大数据","09:10  ","新兴势力,高成长机会","岗位职责：","北京-朝阳区-望京-望京东路8号锐创国际A座11层","2018-08-13 22:37:05"
"马上金融数据信息技术中心","数据挖掘工程师-语音识别","20k-40k","北京 ","经验3-5年","本科及以上","全职","算法","16:05  ","消费金融牌照 人工智能研究院 丰厚年终奖","岗位职责：","北京-朝阳区-华贸-西大望路甲6号国华置业","2018-08-13 22:37:07"
"天润融通产品研发部","语音识别工程师实习生","4k-8k","北京 ","经验不限","本科及以上","全职","Python | 算法","09:14  ","可转正,交流分享,三板上市","负责语音识别系统的部署实施及运营优化，与应用开发工程师合作完成产品开发。","北京-大兴区-亦庄-北工大软件园","2018-08-13 22:37:10"
"快手研发线","语音识别工程师","30k-50k","北京 ","经验3-5年","本科及以上","全职","语音识别 | 人工智能","2018-08-07  ","弹性工作,股票期权,精英团队,千万级用户","1、负责声学模型、语言模型、解码器等语音识别的相关工作；2、跟踪国内外语音识别技术的发展。","北京-海淀区-北京海淀","2018-08-13 22:37:13"
"帝派智能研发部","语音识别工程师","13k-25k","北京 ","经验3-5年","本科及以上","全职","机器学习 | NLP | 算法","17:30  ","广阔平台,优秀团队,个人成长快","岗位职责：负责语音识别引擎的全部或者部分模块的核心算法实现、效果优化以及产品级引擎封装等工作具体要求：   1）具备深度学习相关基本知识和动手能力者优先   2）参与下列语音识别系统中至少一个模块的开发，2年以上经验：       a）声学模型  b）语言模型 c）解码器(WFST) d）产品级引擎封装   3）精通kaldi者优先，使用DNN/RNN/CNN等方法进行ASR实践者优先","北京-朝阳区-北苑-北京市朝阳区北苑路甲13号院","2018-08-13 22:37:16"
"一起科技技术核心部","语音识别工程师","30k-50k","北京 ","经验1-3年","本科及以上","全职","教育 | 机器学习 | 算法","3天前  ","核心技术团","岗位职责：","北京-朝阳区-望京-望京绿地中心B座16层","2018-08-13 22:37:19"
"Aibee","语音识别与多轮交互实习生","3k-6k","北京 ","经验不限","本科及以上","实习","人工智能 | 搜索 | 计算机视觉 | 图像处理","2天前  ","创业公司","工作职责","北京-海淀区-上地-上地三街金隅嘉华大厦B座1201","2018-08-13 22:37:21"
"任你说研发部","语音识别工程师","20k-40k","北京 ","经验1-3年","本科及以上","全职","人工智能 | 机器学习 | 算法","2018-08-09  ","发展空间大,五险一金,前言领域","工作职责: 负责语音识别技术的研究和工程实现； ","北京-海淀区-西二旗-上地九街科技大厦4号楼3层303","2018-08-13 22:37:24"
"思必驰科技研究","语音识别工程师","15k-30k","苏州 ","经验1-3年","硕士及以上","全职","人工智能 | 机器学习 | 深度学习 | 模式识别","2018-08-08  ","语音识别,人工智能,模式识别,深度学习","岗位职责","苏州-工业园区-新平街388号腾飞创新园14号楼","2018-08-13 22:37:28"
"字节跳动","语音识别算法专家","35k-70k","北京 ","经验不限","本科及以上","全职","算法","2018-08-09  ","六险一金，弹性工作，免费三餐，租房补贴",,"北京-海淀区-北京市海淀区知春路63号中国卫星通信大厦","2018-08-13 22:37:42"
"苏宁易购人工智能研发中心","语音识别高级研究员","15k-30k","北京 ","经验不限","本科及以上","全职","电商 | 大数据 | 人工智能 | 机器学习 | 语音识别 | 算法","09:10  ","核心业务,前景好,晋升空间大","岗位职责：","北京-朝阳区-望京-望京东路8号锐创国际A座11层","2018-08-13 22:37:44"
"无秘","语音识别工程师","20k-40k","深圳 ","经验不限","本科及以上","全职","人工智能 | 机器学习","2018-08-09  ","六险一金,晋升空间,带薪年假,弹性上下班","职位描述： ","深圳-南山区-科技园-南山科技园北区大族创新大厦A座4层","2018-08-13 22:37:47"
"创优天下技术部","语音识别工程师","30k-40k","北京 ","经验3-5年","本科及以上","全职","机器学习 | 模式识别 | 算法","3天前  ","团队氛围好,技术实力强,弹性工作制,带薪年病假","职位描述：","北京-海淀区-中关村南大街6号中电信息大厦7层0711","2018-08-13 22:37:50"
"顺丰科技有限公司地理信息","语音识别开发工程师","20k-35k","深圳 ","经验3-5年","本科及以上","全职","算法","09:50  ","弹性工作,餐补,通讯补贴","岗位职责:","深圳-南山区-南油-软件产业基地","2018-08-13 22:37:53"
"网梯科技","语音识别工程师","20k-40k","北京 ","经验不限","硕士及以上","全职","深度学习 | 算法 | 语音识别 | 语音合成","2018-08-08  ","五险一金,带薪休假,年终奖金,日常福利","在网梯音乐开发项目组，你将和最有热情的同事一起，开发有趣的并且基于音乐识别的实时音乐教学产品，我们给你充分的自主权，希望发挥你最大的创新能力。如果你对音乐教育感兴趣，期待机遇与挑战，我们期待你的加入和能力！","北京-海淀区-知春路-知春路甲48号盈都大厦C座4单元3B","2018-08-13 22:37:56"
"Aibee技术部","语音识别与多轮交互算法科...","30k-60k","北京 ","经验1-3年","本科及以上","全职","算法","2天前  ","创业公司,期权激励,技术驱动,国际化团队","语音识别与多轮交互算法科学家/工程师","北京-海淀区-西北旺-上地三街金隅嘉华大厦B座1201","2018-08-13 22:37:59"
"声讯网络","语音识别工程师","20k-40k","杭州 ","经验1-3年","硕士及以上","全职","语音处理","2018-08-07  ","五险一金,美女如云,创业公司,周末双休","岗位职责：","杭州-滨江区-西兴-阡陌路349号聚光中心A座402室","2018-08-13 22:38:02"
"北大软件应用技术部","语音识别研发工程师","15k-30k","北京 ","经验1-3年","本科及以上","全职","机器学习 | 算法","14:03  ","五险一金,专业培训,定期体检,餐饮补贴","岗位职责：          1）负责产品语音识别引擎模块的核心算法实现、效果优化。          2）语音识别相关产品的市场调研和技术洽谈          3）对深度学习声学模型训练有深入实践，熟悉kaldi, CMU sphinx等工具任职要求：           1）具备深度学习相关基本知识和动手能力者优先，熟悉相关开源工具；          2）对语音识别有较深入理解, 熟悉相关算法（如DNN，GMM）；有大规模语音系统训练经验的优先          3）具有信号处理、声学建模、语言建模等领域的相关知识          4）熟练掌握Python/Matlab/C++，熟练使用脚本语言          5）有大型公司语音开发经验者优先 (科大讯飞、云知声、盛大、捷通华声、搜狗语音助手、百度语音)；","北京-海淀区-北京大学-北四环西路67号中关村国际创新大厦11层","2018-08-13 22:38:05"
"地平线机器人智能语音","语音识别算法工程师","20k-40k","北京 ","经验不限","学历不限","全职","后端","10:38  ","明星创业公司 AI行业 竞争力薪酬","工作职责:包括但不限于：1、 解码器算法优化，搜索空间优化，剪枝策略优化，后处理算法实现等;2、 线上识别服务的维护，bug调试，badcase分析与调试;3、 嵌入式识别系统的移植、优化与调试;4、 解码器新算法的研究与实现。任职资格:1、 精通c/c++编程，熟练使用常用的算法与数据结构;2、 熟悉viterbi算法，熟悉网络、图等数据结构的常用处理算法;3、 熟悉线程池，能处理复杂的线程同步、配合问题;4、 熟悉python或perl至少一种脚本语言，熟悉linux shell编程,熟悉linux工作环境与编程;5、 有语音识别解码器开发经验的优先。","北京-海淀区-中关村-北京市海淀区中关村大街1号海龙大厦3层","2018-08-13 22:38:10"
"图灵机器人多模态交互","语音识别算法工程师","15k-30k","北京 ","经验不限","硕士及以上","全职","Python | 算法 | 机器学习","11:08  ","核心部门,大神带队,技术成长快","工作职责","北京-海淀区-上地-农大南路1号硅谷亮城5号楼6层","2018-08-13 22:38:13"
"朗播网人工智能与大数据中心","语音识别算法工程师","15k-30k","北京 ","经验1-3年","本科及以上","全职","机器学习 | 深度学习 | 模式识别 | 算法","09:51  ","五险一金,带薪年假,股票期权,免费健身","岗位职责：","北京-海淀区-上地-上地信息路甲28号科实大厦D座501","2018-08-13 22:38:16"
"达闼科技NLP","自动语音识别工程师","18k-36k","北京 ","经验不限","本科及以上","全职","机器学习 | 深度学习 | NLP | 算法","2018-08-03  ","行业前景好,企业潜力大,福利待遇好,工作氛围佳","Responsibilities could include:","北京-朝阳区-望京soho塔3B座33层","2018-08-13 22:38:19"
"滴滴出行大数据","语音识别研发工程师(J12431)","20k-40k","北京 ","经验3-5年","本科及以上","全职","算法 | 语音处理","2018-08-09  ","与国内语音界顶尖大牛做同事",,"北京-海淀区-西北旺-东北旺西路8号院尚东数字山谷B区1号楼","2018-08-13 22:38:21"
"一知智能","算法工程师（语音识别）","25k-40k","杭州 ","经验3-5年","硕士及以上","全职","企业服务 | 深度学习 | 语音识别 | 算法 | NLP","17:19  ","待遇优厚,公司前景好,团队氛围好,技术领先","1、 负责公司语音识别技术的算法设计、模型训练与识别率优化；","杭州-萧山区-杭州湾信息港","2018-08-13 22:38:24"
"普强信息ASR","语音识别算法工程师","15k-30k","北京 ","经验不限","本科及以上","全职","人工智能 | 机器学习 | 模式识别 | 算法","10:11  ","大牛多,年底双薪,期权,免费班车","岗位职责:1、负责语音识别、情绪、说话人、解码器的算法研究和工程实现；2、负责跟进行业前沿技术发展趋势。 ","北京-海淀区-永丰路和北清路交汇处东南角四维图新大厦F座2层","2018-08-13 22:38:39"
"吃呗网络探索开发部","语音识别和语音合成工程师","40k-80k","北京 ","经验1-3年","本科及以上","全职","语音识别 | 语音合成 | 人工智能 | 模式识别 | 移动互联网 | 大数据","2018-08-06  ","工资高,有前景,有期权","我公司AI探索事业部需要招聘语音合成和语音识别两个职能工程师：","北京-朝阳区-CBD-万达广场","2018-08-13 22:38:42"
"达闼科技AI","自动语音识别工程师","25k-50k","北京 ","经验3-5年","硕士及以上","全职","NLP | 算法","2018-08-03  ","行业前沿,工作环境好,发展前景好","职责包括：","北京-朝阳区-望京soho塔3A座23层","2018-08-13 22:38:45"
"NIO蔚来前瞻智能系统部","语音识别算法工程师","30k-60k","北京 ","经验3-5年","本科及以上","全职","人工智能 | 机器学习 | 深度学习 | 模式识别","09:56  ","六险一金,弹性办公,租房补贴,学霸团队","岗位职责：","北京-朝阳区-广营西路5号院诚盈中心1号楼14层","2018-08-13 22:38:49"
"清帆科技感知计算组","语音识别算法工程师","18k-35k","北京 ","经验不限","硕士及以上","全职","机器学习 | 深度学习 | 算法","09:15  ","年13+薪,期权激励,优秀团队,蓝海领域","岗位职责","北京-海淀区-西北旺-中关村软件园立思辰大厦5层","2018-08-13 22:38:52"
"东芝(中国)有限公司东芝研发中心","语音识别研究员","20k-35k","北京 ","经验1-3年","硕士及以上","全职","人工智能 | 深度学习 | NLP | 算法","3天前  ","高弹工作,出国机会,带薪年假,内部培训","工作职责:","北京-朝阳区-三元桥-东方东路19号亮马桥外交办公大楼D1座1401室","2018-08-13 22:38:55"
"触宝大数据业务群","语音识别高级工程师","30k-50k","上海 ","经验3-5年","硕士及以上","全职","机器学习 | 模式识别 | 算法","10:14  ","独角兽,核心业务,团队牛人多,发展前景好","职位描述：","上海-徐汇区-漕宝路-虹梅路2007号7号楼","2018-08-13 22:38:58"
"一起科技AI","语音识别工程师（技术）","30k-60k","北京 ","经验3-5年","本科及以上","全职","语音识别","3天前  ","独角兽,待遇好","职位描述：","北京-朝阳区-望京-望京绿地中心B座","2018-08-13 22:39:02"
"云知声AI Labs","语音识别算法研究员","15k-30k","上海 ","经验应届毕业生","硕士及以上","全职","C++ | 算法","14:38  ","技术大牛,福利好,环境好","工作要求：","上海-徐汇区-漕河泾-漕河泾开发区新研大厦","2018-08-13 22:39:05"
"美的","语音识别工程师","15k-25k","深圳 ","经验3-5年","本科及以上","全职","语音识别 | 人工智能","3天前  ","上市公司,500强,六险一金,扁平化管理","工作职责：","深圳-南山区-后海-怡化金融大厦22楼","2018-08-13 22:39:08"
"奇点机智技术","语音识别算法工程师","20k-40k","北京 ","经验1-3年","本科及以上","全职","深度学习 | 算法","14:14  ","从0开始,语音识别,语音模型,技术大牛","工作职责:","北京-海淀区-北京大学-中关村成府路45号智造大街F座","2018-08-13 22:39:11"
"NuanceR&D","语音识别研发软件工程师","15k-18k","上海 ","经验应届毕业生","硕士及以上","全职","机器学习 | 语音识别","2018-07-25  ","人工智能,机器学习,语音识别","Conduct research and development on speech recognition for mobile, TV, and automotive applications. Create new solutions on embedded ASR for VUI system in various environments. Provide customer support of ASR in automotive, mobile and home applications. ","上海-浦东新区-源深体育中心-世纪大道1198号世纪汇广场1座","2018-08-13 22:39:14"
"好未来","高级语音识别工程师","40k-60k","北京 ","经验5-10年","本科及以上","全职","人工智能 | 语音合成 | 语音识别","2018-08-09  ","年终奖金,五险一金","工作职责：1. 负责学而思网校语音识别解码器的研发和优化2. 负责沟通、承接和实施语音识别业务的需求工作要求：1. 为人踏实负责，喜欢在线教育行业2. 本科及以上学历，工作2年及以上3. 精通c/c++语言，熟练常用的数据结构4. 熟悉常用的算法和设计模式5. 有语音识别背景者优先6. 有机器学习背景者优先","北京-海淀区-中关村-中关村科贸电子城A座7层","2018-08-13 22:39:17"
"金蝶","语音识别工程师","20k-40k","深圳 ","经验3-5年","硕士及以上","全职","人工智能 | 模式识别 | 算法","2018-07-16  ","平台大，发展前景广，技术优，工作氛围好","岗位职责：","深圳-南山区-科技园-科技南十二路二号金蝶软件园","2018-08-13 22:39:21"
"平安科技平安科技","语音识别算法工程师（南京）","15k-30k","南京 ","经验1年以下","本科及以上","全职","算法 | 机器学习","10:24  ","世界50强,带薪年假,节日福利,绩效丰厚",,"南京-雨花台区-安德门-软件大道180号大数据产业基地5栋","2018-08-13 22:39:25"
"慧知慧学","语音识别开发工程师","10k-18k","上海 ","经验1-3年","本科及以上","全职","语音识别 | 人工智能","2018-07-24  ","定期体检,月度聚餐,绩效奖金,年度调薪","福利待遇：","上海-杨浦区-杨树浦路3025号","2018-08-13 22:39:39"
"追一科技算法组","语音识别算法研究员 (MJ00...","30k-60k","深圳 ","经验3-5年","本科及以上","全职","语音处理","3天前  ","期权激励","职位描述：","深圳-南山区-讯美科技广场1号楼10CD","2018-08-13 22:39:43"
"思必驰科技研究","高级语音识别工程师","20k-40k","苏州 ","经验3-5年","硕士及以上","全职","人工智能 | 机器学习 | NLP | 模式识别","2018-08-08  ","语音识别,自然语言处,人工智能,深度学习","岗位职责","苏州-工业园区-新平街388号腾飞创新园14号楼","2018-08-13 22:39:47"
"字节跳动","今日头条语音识别科学家","25k-50k","北京 ","经验3-5年","本科及以上","全职","视频","11:27  ","六险一金，弹性工作，免费三餐，租房补贴，带薪休假，休闲下午茶，扁平管理，健身瑜伽，过亿用户",,"北京市-海淀区-双榆树-北京市海淀区北三环西路43号中航广场","2018-08-13 22:39:49"
"腾讯无线研发部","MIG03-语音识别工程师（深圳）","18k-30k","深圳 ","经验3-5年","硕士及以上","全职","人工智能 | 机器学习 | 深度学习 | NLP","11:11  ","大空间,大平台",,"深圳-南山区-科技园-腾讯大厦","2018-08-13 22:39:53"
"AKULAKU机器学习部门","语音识别算法","20k-40k","深圳 ","经验3-5年","本科及以上","全职","人工智能 | 机器学习 | 深度学习 | 算法","10:39  ","业务场景多,国际化团队,年终丰厚,发展空间大","岗位职责：1、语音识别系统的数据处理、模型训练、结果分析、实验验证；2、负责机器人语音识别、语音增强及语音定位算法的研究与开发；3、语音识别最新算法跟踪。4、在研究员指导下进行算法设计和实现，提高语音识别系统的综合性能；任职资格：1、语音信号处理、模式识别等相关专业硕士以上学历，3年以上语音识别研究经历或者相关工作经验；2、熟练掌握 C/C++, 编程能力强；熟悉 Linux 环境开发；熟悉 Python 或者其他脚本语言；3、对语音识别和深度神经网络原理有扎实理解，对声学模型或语言学模型有深入研究，独立实现过一个或多个相关算法（如DNN，GMM，WFST decoder），有大规模语音系统训练经验，有相关领域研究论文发表者优先；4、熟悉开源工具（如Kaldi, OpenFst）者优先5、在下列一项或多项研究领域内具有背景者优先：语音信号处理、语音识别或合成、随机模型构造、机器学习。6、对科学研究具有浓厚兴趣者优先，特别欢迎有志于在语音处理和机器学习方面有所建树的应聘者。","深圳-南山区-华中科技大学深圳产学研基地A座","2018-08-13 22:39:56"
"美团点评美团外卖配送事业群","语音识别负责人","25k-50k","北京 ","经验3-5年","本科及以上","全职","模式识别 | 算法","2018-08-08  ","核心业务,可带团队,软硬件结合,发展空间大","职位描述美团外卖配送每日超过1600万订单，五十万活跃骑手，是全球最大的即时配送平台。以不断优化用户体验、提升配送效率为目标，我们通过大数据+人工智能方式，将逐步建设新一代的智慧物流系统。在配送中过中，骑手需要不断掏出手机进行信息查询和订单操作，一方面也给骑手带来很大的安全隐患，一方面降低了骑手的配送效率。实际上，通过语音完成交互是更加自然的方式，而且可以解放骑手双手，提高骑手驾驶安全，为此我们研发智能语音助手+智能蓝牙耳机的软硬件结合智能解决方案。工作职责1. 骑手语音助手的软硬件整体架构方案设计2. 整体效果优化，包括硬件、软件、蓝牙、语音识别、语义理解等多个方面3. 骑手的全语音交互的配送模式，以及语音交互新场景探索职位要求1. 2年以上语音以及相关硬件方面经验，熟悉声学模型。2. 在算法领域，包括人工智能、语音识别、机器学习、数据挖掘、自然语言处理等其中一个或多个领域有深厚的积累3. 嵌入式软硬件方向经验，熟悉TCP/IP及无线网络（Zigbee、Wi-Fi、蓝牙、2/3/4G）协议优先4. 优秀的业务理解、目标制定、沟通能力","北京-朝阳区-望京-望京科创大厦","2018-08-13 22:39:59"
"声智科技研发部","语音识别算法工程师","25k-50k","北京 ","经验不限","硕士及以上","全职","深度学习 | NLP | 算法","14:15  ","人工智能,语音赛道,团队大牛,福利多多","职位描述：","北京-海淀区-北京大学-北京市海淀区北四环西路67号中关村国际创新大厦A座308室","2018-08-13 22:40:03"
"触宝大数据事业部","语音识别高级工程师（解码...","30k-50k","上海 ","经验3-5年","本科及以上","全职","算法","09:35  ","10亿用户,行业独角兽,技术驱动,发展空间大","职位描述：1.负责语音识别核心解码器的开发和性能调优；2.负责在线解码器的产品工程落地；任职要求：1.本科及以上学历，有深厚的c++开发功底以及扎实的数据结构和算法基础；2.熟悉有限自动机的相关算法原理（如最小化和确定化算法），了解wfst解码图的构建原理；3.了解基于时间同步的解码相关算法原理及过程（如令牌传递算法）；4.熟悉kaldi解码器及openfst者优先。","上海-徐汇区-虹梅路2007号7号楼","2018-08-13 22:40:06"
"滴滴出行","语音识别及交互项目经理(J...","20k-40k","北京 ","经验3-5年","本科及以上","全职","项目管理 | 过程管理","2018-08-09  ","广阔平台、急速成长、诱人福利",,"北京-海淀区-北京市海淀区东北旺西路8号数字山谷","2018-08-13 22:40:11"
"百度语音技术部","语音识别高级工程师","17k-34k","北京 ","经验1-3年","本科及以上","全职","算法 | 机器学习","2018-08-08  ","五险一金,带薪休假","工作职责    -负责语音识别技术的研究    -负责声学模型、语言模型、解码器三个方向之一的相关工作      任职资格    -对语音识别的算法细节有深刻的了解    -深入了解声学建模的过程，以及具体训练算法    -主导开发过应用级别的语音识别系统    -具有良好的数学功底     -具有很强的分析问题和解决问题能力，对解决具有挑战性问题充满激情     -有强烈的上进心和求知欲，自我管理能力强，有良好的时间意识     -在Interspeech，ICASSP等语音学术会议中有论文发表者优先","北京-海淀区-西北旺-百度科技园4号楼","2018-08-13 22:40:14"
"汽车之家大数据部","语音识别算法工程师","30k-50k","北京 ","经验3-5年","本科及以上","全职","模式识别 | 语音处理","12:02  ","上市公司,超多福利,发展空间大,氛围好","1负责公司级别语音识别系统的研发；","北京-海淀区-中关村-丹棱街三号中国电子大厦B座10层","2018-08-13 22:40:17"
"ZOOM研发部","高级语音识别工程师","13k-26k","合肥 ","经验1-3年","硕士及以上","全职","机器学习 | 深度学习 | 算法","2018-08-08  ","薪酬福利好,技术挑战高,原始股权,发展空间大","岗位职责：","合肥-高新区-文曲路与云飞路交叉口创新产业园二期F5栋1001室","2018-08-13 22:40:20"
"聚力维度研发部","语音识别（实习岗位/应届毕...","15k-20k","北京 ","经验不限","硕士及以上","全职","人工智能 | 深度学习 | 语音识别 | 语音合成","15:53  ","影视智能,背靠巨头,清华合作,科研文化","岗位职责：","北京-海淀区-五道口-中关村东路1号院3号楼创业大厦510室","2018-08-13 22:40:24"
"极限元技术部","语音识别算法工程师","15k-30k","北京 ","经验1-3年","硕士及以上","全职","教育 | 机器学习 | 搜索 | 算法","09:35  ","13薪,六险一金,下午茶水果,弹性工作","职位描述：","北京-海淀区-上地-北京市海淀区上地东路颐泉汇写字楼5层519","2018-08-13 22:40:28"
"慧知慧学","语音识别研发工程师","15k-25k","上海 ","经验1-3年","本科及以上","全职","语音识别 | 算法","2018-07-24  ","定期体检,月度聚餐,绩效奖金,年度调薪","福利待遇：","上海-杨浦区-杨树浦路3025号","2018-08-13 22:40:43"
